;===========Speed = 80============
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
547, 546, 678, 647, 578, 553, 528, 503, 478, 453, 
428, 473, 418, 453, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
;===========Speed = 50============
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
547, 546, 678, 647, 578, 553, 528, 503, 478, 453, 
428, 473, 418, 453, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
;===========Speed = 70============
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
547, 546, 678, 647, 578, 553, 528, 503, 478, 453, 
428, 473, 418, 453, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
;===========Speed = 40============
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
547, 546, 678, 647, 578, 553, 528, 503, 478, 453, 
428, 473, 418, 453, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
;===========Speed = 60============
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 
547, 546, 678, 647, 578, 553, 528, 503, 478, 453, 
428, 473, 418, 453, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
393, 393, 393, 393, 393, 393, 393, 393, 393, 393, 
