13340,23,1,271,60.88,15289,2,5289,9352,0,0,6525,9412,5907,9382,4.69
13340,23,1,327,52.09,13460,2,4960,9122,0,0,4582,8256,4771,8689,4.66
13340,23,1,371,45.11,13574,2,4620,7944,0,0,5519,9067,5069,8505,4.9
13340,23,1,416,43.27,11623,2,4446,7080,0,0,4256,7465,4351,7272,4.75
13340,23,1,460,37.4,12331,2,4354,7816,0,0,4902,7590,4628,7703,4.75
13340,23,1,521,59.69,14224,2,5523,8657,0,0,5877,8392,5700,8524,4.84
13340,23,1,580,55.62,14224,2,5370,8935,0,0,4999,9145,5184,9040,4.7
13340,24,1,67,59.65,15423,2,5336,9757,0,0,5955,9799,5645,9778,4.75
13340,24,1,125,46.8,14249,2,5053,8627,0,0,5258,9561,5155,9094,5.05
13340,24,1,222,57.53,15504,2,5477,9592,0,0,6190,9751,5833,9671,4.76
13340,25,1,26363,58.14,9667,2,4157,6709,0,0,3058,5412,3607,6060,4.58
13340,25,1,26366,58.57,8804,2,4033,5521,0,0,2711,5343,3372,5432,4.69
13340,25,1,26369,52.42,8906,2,3565,6283,0,0,2997,4968,3281,5625,4.7
13340,25,1,26372,52.42,9544,2,3836,6769,0,0,3052,5432,3444,6100,4.61
13340,25,1,26377,42.08,8350,2,3437,6059,0,0,2313,4892,2875,5475,4.85
13340,25,1,26379,42.23,8859,2,3295,6081,0,0,2837,5506,3066,5793,4.74
0,20,1,2394,47.81,11842,2,4387,7482,0,0,3722,8095,4054,7788,4.82
0,20,1,2381,55.44,13170,2,4670,9008,0,0,4765,7898,4717,8453,4.67
0,20,1,2373,45.36,11899,2,4121,7615,0,0,4170,7894,4145,7754,4.85
0,20,1,2362,52.06,13509,2,4975,8223,0,0,5654,8168,5314,8195,5
0,20,1,2353,61.16,13693,2,4689,9182,0,0,4491,9024,4590,9103,4.77
